, acc 1
2019-04-15T11:38:31.794946: step 16310, loss 1.60441e-05, acc 1
2019-04-15T11:38:31.943546: step 16311, loss 4.91945e-05, acc 1
2019-04-15T11:38:32.089158: step 16312, loss 3.53177e-05, acc 1
2019-04-15T11:38:32.227786: step 16313, loss 7.45057e-08, acc 1
2019-04-15T11:38:32.369408: step 16314, loss 5.06387e-05, acc 1
2019-04-15T11:38:32.506079: step 16315, loss 1.86265e-09, acc 1
2019-04-15T11:38:32.654644: step 16316, loss 5.43357e-05, acc 1
2019-04-15T11:38:32.795309: step 16317, loss 0.000164951, acc 1
2019-04-15T11:38:32.931905: step 16318, loss 0.000403382, acc 1
2019-04-15T11:38:33.068538: step 16319, loss 2.28903e-06, acc 1
2019-04-15T11:38:33.206170: step 16320, loss 3.72529e-08, acc 1
2019-04-15T11:38:33.338815: step 16321, loss 5.4202e-07, acc 1
2019-04-15T11:38:33.477444: step 16322, loss 0.000421034, acc 1
2019-04-15T11:38:33.626046: step 16323, loss 4.95456e-07, acc 1
2019-04-15T11:38:33.773653: step 16324, loss 9.0033e-06, acc 1
2019-04-15T11:38:33.908293: step 16325, loss 4.09781e-08, acc 1
2019-04-15T11:38:34.042932: step 16326, loss 1.11759e-07, acc 1
2019-04-15T11:38:34.177609: step 16327, loss 3.63061e-05, acc 1
2019-04-15T11:38:34.318196: step 16328, loss 2.41014e-06, acc 1
2019-04-15T11:38:34.455827: step 16329, loss 1.39766e-05, acc 1
2019-04-15T11:38:34.594457: step 16330, loss 3.6988e-06, acc 1
2019-04-15T11:38:34.732089: step 16331, loss 1.94641e-06, acc 1
2019-04-15T11:38:34.868723: step 16332, loss 8.30719e-07, acc 1
2019-04-15T11:38:35.009346: step 16333, loss 0.0011596, acc 1
2019-04-15T11:38:35.142990: step 16334, loss 4.17551e-06, acc 1
2019-04-15T11:38:35.278627: step 16335, loss 2.6077e-08, acc 1
2019-04-15T11:38:35.415263: step 16336, loss 0.000303626, acc 1
2019-04-15T11:38:35.548903: step 16337, loss 8.0169e-06, acc 1
2019-04-15T11:38:35.691522: step 16338, loss 0.000283535, acc 1
2019-04-15T11:38:35.827161: step 16339, loss 3.52308e-05, acc 1
2019-04-15T11:38:35.968781: step 16340, loss 3.61844e-05, acc 1
2019-04-15T11:38:36.108408: step 16341, loss 1.32025e-05, acc 1
2019-04-15T11:38:36.243049: step 16342, loss 6.29306e-05, acc 1
2019-04-15T11:38:36.378684: step 16343, loss 2.61497e-06, acc 1
2019-04-15T11:38:36.512327: step 16344, loss 6.6391e-05, acc 1
2019-04-15T11:38:36.650956: step 16345, loss 8.04375e-06, acc 1
2019-04-15T11:38:36.789585: step 16346, loss 9.31322e-09, acc 1
2019-04-15T11:38:36.920236: step 16347, loss 2.64013e-05, acc 1
2019-04-15T11:38:37.080808: step 16348, loss 9.42258e-05, acc 1
2019-04-15T11:38:37.214506: step 16349, loss 7.07804e-08, acc 1
2019-04-15T11:38:37.347095: step 16350, loss 2.07653e-05, acc 1
2019-04-15T11:38:37.485724: step 16351, loss 0.000111646, acc 1
2019-04-15T11:38:37.624392: step 16352, loss 6.60463e-05, acc 1
2019-04-15T11:38:37.762982: step 16353, loss 3.99302e-06, acc 1
2019-04-15T11:38:37.900614: step 16354, loss 9.67905e-06, acc 1
2019-04-15T11:38:38.038246: step 16355, loss 4.36879e-05, acc 1
2019-04-15T11:38:38.172886: step 16356, loss 2.05998e-06, acc 1
2019-04-15T11:38:38.313511: step 16357, loss 2.90571e-07, acc 1
2019-04-15T11:38:38.447152: step 16358, loss 5.51334e-07, acc 1
2019-04-15T11:38:38.588775: step 16359, loss 3.52108e-05, acc 1
2019-04-15T11:38:38.731391: step 16360, loss 2.21203e-05, acc 1
2019-04-15T11:38:38.867068: step 16361, loss 1.86265e-09, acc 1
2019-04-15T11:38:39.003663: step 16362, loss 4.47034e-08, acc 1
2019-04-15T11:38:39.139300: step 16363, loss 4.02654e-06, acc 1
2019-04-15T11:38:39.271946: step 16364, loss 4.1645e-06, acc 1
2019-04-15T11:38:39.416560: step 16365, loss 2.49593e-07, acc 1
2019-04-15T11:38:39.556186: step 16366, loss 5.36433e-07, acc 1
2019-04-15T11:38:39.704790: step 16367, loss 0.00368683, acc 1
2019-04-15T11:38:39.841459: step 16368, loss 2.96699e-05, acc 1
2019-04-15T11:38:39.977060: step 16369, loss 0.000307948, acc 1
2019-04-15T11:38:40.111743: step 16370, loss 9.75416e-05, acc 1
2019-04-15T11:38:40.248335: step 16371, loss 8.90342e-06, acc 1
2019-04-15T11:38:40.382976: step 16372, loss 5.45304e-06, acc 1
2019-04-15T11:38:40.526590: step 16373, loss 1.42521e-05, acc 1
2019-04-15T11:38:40.676190: step 16374, loss 8.40041e-07, acc 1
2019-04-15T11:38:40.812865: step 16375, loss 0.000257673, acc 1
2019-04-15T11:38:40.946467: step 16376, loss 1.56462e-07, acc 1
2019-04-15T11:38:41.083102: step 16377, loss 0.000140991, acc 1
2019-04-15T11:38:41.216746: step 16378, loss 3.2446e-06, acc 1
2019-04-15T11:38:41.353379: step 16379, loss 3.13969e-05, acc 1
2019-04-15T11:38:41.493005: step 16380, loss 2.31338e-05, acc 1
2019-04-15T11:38:41.645597: step 16381, loss 2.87956e-06, acc 1
2019-04-15T11:38:41.782234: step 16382, loss 0.000286777, acc 1
2019-04-15T11:38:41.918866: step 16383, loss 7.06523e-05, acc 1
2019-04-15T11:38:42.054505: step 16384, loss 3.53902e-08, acc 1
2019-04-15T11:38:42.190143: step 16385, loss 3.71536e-05, acc 1
2019-04-15T11:38:42.325815: step 16386, loss 2.6077e-08, acc 1
2019-04-15T11:38:42.460418: step 16387, loss 4.74153e-05, acc 1
2019-04-15T11:38:42.609058: step 16388, loss 5.77419e-08, acc 1
2019-04-15T11:38:42.752637: step 16389, loss 2.12888e-06, acc 1
2019-04-15T11:38:42.891266: step 16390, loss 1.56462e-07, acc 1
2019-04-15T11:38:43.030892: step 16391, loss 4.8801e-07, acc 1
2019-04-15T11:38:43.165545: step 16392, loss 5.44014e-06, acc 1
2019-04-15T11:38:43.300172: step 16393, loss 5.26715e-06, acc 1
2019-04-15T11:38:43.438802: step 16394, loss 6.4819e-07, acc 1
2019-04-15T11:38:43.576433: step 16395, loss 3.58764e-05, acc 1
2019-04-15T11:38:43.719052: step 16396, loss 4.23585e-05, acc 1
2019-04-15T11:38:43.869650: step 16397, loss 1.8868e-06, acc 1
2019-04-15T11:38:44.005286: step 16398, loss 2.23517e-08, acc 1
2019-04-15T11:38:44.141922: step 16399, loss 8.75442e-08, acc 1
2019-04-15T11:38:44.279554: step 16400, loss 4.04132e-05, acc 1

Evaluation:
2019-04-15T11:38:44.568779: step 16400, loss 5.59, acc 0.72045

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-16400

2019-04-15T11:38:45.365647: step 16401, loss 9.03621e-06, acc 1
2019-04-15T11:38:45.505275: step 16402, loss 8.53079e-07, acc 1
2019-04-15T11:38:45.639914: step 16403, loss 9.12693e-08, acc 1
2019-04-15T11:38:45.771563: step 16404, loss 4.99181e-07, acc 1
2019-04-15T11:38:45.900219: step 16405, loss 5.14082e-07, acc 1
2019-04-15T11:38:46.042836: step 16406, loss 1.64362e-05, acc 1
2019-04-15T11:38:46.171494: step 16407, loss 6.83409e-05, acc 1
2019-04-15T11:38:46.307130: step 16408, loss 1.65582e-06, acc 1
2019-04-15T11:38:46.456729: step 16409, loss 0.000328625, acc 1
2019-04-15T11:38:46.606329: step 16410, loss 6.75169e-05, acc 1
2019-04-15T11:38:46.746955: step 16411, loss 0.0033153, acc 1
2019-04-15T11:38:46.885582: step 16412, loss 0.000348465, acc 1
2019-04-15T11:38:47.022220: step 16413, loss 5.24445e-06, acc 1
2019-04-15T11:38:47.164835: step 16414, loss 1.09335e-06, acc 1
2019-04-15T11:38:47.305459: step 16415, loss 1.86265e-09, acc 1
2019-04-15T11:38:47.441097: step 16416, loss 0.000139255, acc 1
2019-04-15T11:38:47.581720: step 16417, loss 4.18694e-05, acc 1
2019-04-15T11:38:47.721347: step 16418, loss 5.40167e-08, acc 1
2019-04-15T11:38:47.858979: step 16419, loss 1.84402e-07, acc 1
2019-04-15T11:38:47.995613: step 16420, loss 6.59369e-07, acc 1
2019-04-15T11:38:48.131253: step 16421, loss 2.73226e-06, acc 1
2019-04-15T11:38:48.277858: step 16422, loss 1.27586e-06, acc 1
2019-04-15T11:38:48.410503: step 16423, loss 2.24232e-05, acc 1
2019-04-15T11:38:48.547138: step 16424, loss 6.97494e-05, acc 1
2019-04-15T11:38:48.696777: step 16425, loss 3.38531e-05, acc 1
2019-04-15T11:38:48.831378: step 16426, loss 2.14197e-06, acc 1
2019-04-15T11:38:48.967015: step 16427, loss 5.3036e-05, acc 1
2019-04-15T11:38:49.103650: step 16428, loss 1.02815e-06, acc 1
2019-04-15T11:38:49.236296: step 16429, loss 4.07915e-07, acc 1
2019-04-15T11:38:49.377955: step 16430, loss 1.952e-06, acc 1
2019-04-15T11:38:49.521532: step 16431, loss 0.000230488, acc 1
2019-04-15T11:38:49.669137: step 16432, loss 0.00154081, acc 1
2019-04-15T11:38:49.806769: step 16433, loss 5.58794e-09, acc 1
2019-04-15T11:38:49.942407: step 16434, loss 3.63736e-06, acc 1
2019-04-15T11:38:50.076049: step 16435, loss 5.69959e-07, acc 1
2019-04-15T11:38:50.209691: step 16436, loss 0.000569418, acc 1
2019-04-15T11:38:50.347323: step 16437, loss 1.35973e-07, acc 1
2019-04-15T11:38:50.489942: step 16438, loss 9.29448e-07, acc 1
2019-04-15T11:38:50.632561: step 16439, loss 8.94069e-08, acc 1
2019-04-15T11:38:50.769196: step 16440, loss 7.07928e-05, acc 1
2019-04-15T11:38:50.906826: step 16441, loss 3.50327e-06, acc 1
2019-04-15T11:38:51.040469: step 16442, loss 3.83477e-06, acc 1
2019-04-15T11:38:51.173115: step 16443, loss 1.0409e-05, acc 1
2019-04-15T11:38:51.312741: step 16444, loss 0.00116426, acc 1
2019-04-15T11:38:51.448378: step 16445, loss 9.49947e-08, acc 1
2019-04-15T11:38:51.601989: step 16446, loss 3.24099e-05, acc 1
2019-04-15T11:38:51.734614: step 16447, loss 4.84287e-08, acc 1
2019-04-15T11:38:51.873243: step 16448, loss 3.11219e-06, acc 1
2019-04-15T11:38:52.008880: step 16449, loss 0.000584749, acc 1
2019-04-15T11:38:52.146512: step 16450, loss 0.000209193, acc 1
2019-04-15T11:38:52.283145: step 16451, loss 1.77417e-05, acc 1
2019-04-15T11:38:52.419823: step 16452, loss 1.27945e-05, acc 1
2019-04-15T11:38:52.559406: step 16453, loss 6.81486e-05, acc 1
2019-04-15T11:38:52.707012: step 16454, loss 1.06171e-07, acc 1
2019-04-15T11:38:52.842649: step 16455, loss 8.86536e-05, acc 1
2019-04-15T11:38:52.979285: step 16456, loss 2.10103e-05, acc 1
2019-04-15T11:38:53.114921: step 16457, loss 1.0258e-05, acc 1
2019-04-15T11:38:53.247567: step 16458, loss 4.82909e-06, acc 1
2019-04-15T11:38:53.386195: step 16459, loss 2.87566e-06, acc 1
2019-04-15T11:38:53.525821: step 16460, loss 1.44164e-05, acc 1
2019-04-15T11:38:53.665448: step 16461, loss 0.000208641, acc 1
2019-04-15T11:38:53.803080: step 16462, loss 5.02911e-07, acc 1
2019-04-15T11:38:53.937721: step 16463, loss 0.0151313, acc 0.984375
2019-04-15T11:38:54.076349: step 16464, loss 6.6495e-07, acc 1
2019-04-15T11:38:54.208996: step 16465, loss 3.87771e-06, acc 1
2019-04-15T11:38:54.344671: step 16466, loss 0.000863664, acc 1
2019-04-15T11:38:54.481305: step 16467, loss 1.69493e-06, acc 1
2019-04-15T11:38:54.617902: step 16468, loss 3.20372e-07, acc 1
2019-04-15T11:38:54.752541: step 16469, loss 8.56815e-08, acc 1
2019-04-15T11:38:54.887181: step 16470, loss 1.86264e-07, acc 1
2019-04-15T11:38:55.028801: step 16471, loss 7.45058e-09, acc 1
2019-04-15T11:38:55.164439: step 16472, loss 4.55353e-06, acc 1
2019-04-15T11:38:55.304066: step 16473, loss 0.00724423, acc 1
2019-04-15T11:38:55.440700: step 16474, loss 1.26424e-05, acc 1
2019-04-15T11:38:55.588305: step 16475, loss 1.70584e-05, acc 1
2019-04-15T11:38:55.729927: step 16476, loss 5.25259e-07, acc 1
2019-04-15T11:38:55.865603: step 16477, loss 0.000811775, acc 1
2019-04-15T11:38:56.004195: step 16478, loss 2.17741e-05, acc 1
2019-04-15T11:38:56.159778: step 16479, loss 8.87692e-06, acc 1
2019-04-15T11:38:56.295415: step 16480, loss 3.25743e-06, acc 1
2019-04-15T11:38:56.429095: step 16481, loss 6.99779e-05, acc 1
2019-04-15T11:38:56.561702: step 16482, loss 5.05184e-05, acc 1
2019-04-15T11:38:56.702368: step 16483, loss 1.42209e-05, acc 1
2019-04-15T11:38:56.836965: step 16484, loss 6.14673e-08, acc 1
2019-04-15T11:38:56.970608: step 16485, loss 5.77127e-06, acc 1
2019-04-15T11:38:57.111232: step 16486, loss 0.00010196, acc 1
2019-04-15T11:38:57.258837: step 16487, loss 0.0162107, acc 0.984375
2019-04-15T11:38:57.396508: step 16488, loss 0.0837822, acc 0.984375
2019-04-15T11:38:57.536095: step 16489, loss 6.10466e-06, acc 1
2019-04-15T11:38:57.683701: step 16490, loss 1.57203e-06, acc 1
2019-04-15T11:38:57.822330: step 16491, loss 8.33856e-05, acc 1
2019-04-15T11:38:57.962954: step 16492, loss 2.09912e-06, acc 1
2019-04-15T11:38:58.098592: step 16493, loss 9.2572e-07, acc 1
2019-04-15T11:38:58.233232: step 16494, loss 3.52038e-07, acc 1
2019-04-15T11:38:58.376847: step 16495, loss 1.75268e-06, acc 1
2019-04-15T11:38:58.513488: step 16496, loss 3.40282e-06, acc 1
2019-04-15T11:38:58.654105: step 16497, loss 1.54986e-05, acc 1
2019-04-15T11:38:58.794730: step 16498, loss 0.000124169, acc 1
2019-04-15T11:38:58.931404: step 16499, loss 1.00391e-05, acc 1
2019-04-15T11:38:59.064010: step 16500, loss 0.000231917, acc 1

Evaluation:
2019-04-15T11:38:59.349246: step 16500, loss 5.57008, acc 0.719512

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-16500

2019-04-15T11:38:59.897780: step 16501, loss 0.0137401, acc 0.984375
2019-04-15T11:39:00.035448: step 16502, loss 0.000604021, acc 1
2019-04-15T11:39:00.170053: step 16503, loss 6.4554e-05, acc 1
2019-04-15T11:39:00.309716: step 16504, loss 7.71796e-05, acc 1
2019-04-15T11:39:00.457282: step 16505, loss 7.63684e-08, acc 1
2019-04-15T11:39:00.617854: step 16506, loss 2.11956e-05, acc 1
2019-04-15T11:39:00.773437: step 16507, loss 1.90543e-06, acc 1
2019-04-15T11:39:00.923037: step 16508, loss 0.000172708, acc 1
2019-04-15T11:39:01.063662: step 16509, loss 2.50772e-05, acc 1
2019-04-15T11:39:01.227225: step 16510, loss 1.58283e-05, acc 1
2019-04-15T11:39:01.372834: step 16511, loss 0.0136411, acc 0.984375
2019-04-15T11:39:01.523433: step 16512, loss 2.60937e-06, acc 1
2019-04-15T11:39:01.676023: step 16513, loss 0.000141715, acc 1
2019-04-15T11:39:01.822630: step 16514, loss 0.00584853, acc 1
2019-04-15T11:39:01.959318: step 16515, loss 6.73647e-06, acc 1
2019-04-15T11:39:02.093906: step 16516, loss 4.67588e-05, acc 1
2019-04-15T11:39:02.227584: step 16517, loss 1.05502e-05, acc 1
2019-04-15T11:39:02.365180: step 16518, loss 0.000295623, acc 1
2019-04-15T11:39:02.503908: step 16519, loss 6.67381e-05, acc 1
2019-04-15T11:39:02.643436: step 16520, loss 0.000110091, acc 1
2019-04-15T11:39:02.786054: step 16521, loss 1.47281e-05, acc 1
2019-04-15T11:39:02.922689: step 16522, loss 0.00186334, acc 1
2019-04-15T11:39:03.059324: step 16523, loss 2.71945e-07, acc 1
2019-04-15T11:39:03.195958: step 16524, loss 0.0160967, acc 0.984375
2019-04-15T11:39:03.332632: step 16525, loss 0.00138105, acc 1
2019-04-15T11:39:03.473215: step 16526, loss 0.000407317, acc 1
2019-04-15T11:39:03.613878: step 16527, loss 0.000118283, acc 1
2019-04-15T11:39:03.750475: step 16528, loss 0.000274052, acc 1
2019-04-15T11:39:03.889106: step 16529, loss 8.6548e-05, acc 1
2019-04-15T11:39:04.029727: step 16530, loss 0.00688198, acc 1
2019-04-15T11:39:04.167359: step 16531, loss 9.2267e-06, acc 1
2019-04-15T11:39:04.307983: step 16532, loss 0.000179203, acc 1
2019-04-15T11:39:04.450604: step 16533, loss 3.52038e-07, acc 1
2019-04-15T11:39:04.596214: step 16534, loss 9.51275e-05, acc 1
2019-04-15T11:39:04.733846: step 16535, loss 0.000124344, acc 1
2019-04-15T11:39:04.867487: step 16536, loss 9.2012e-07, acc 1
2019-04-15T11:39:05.006116: step 16537, loss 1.93123e-05, acc 1
2019-04-15T11:39:05.144776: step 16538, loss 2.80867e-06, acc 1
2019-04-15T11:39:05.279424: step 16539, loss 8.75442e-08, acc 1
2019-04-15T11:39:05.416022: step 16540, loss 0.000334448, acc 1
2019-04-15T11:39:05.552655: step 16541, loss 0.0110742, acc 0.984375
2019-04-15T11:39:05.698304: step 16542, loss 1.4882e-06, acc 1
2019-04-15T11:39:05.834939: step 16543, loss 0.0659102, acc 0.984375
2019-04-15T11:39:05.970538: step 16544, loss 0.00022483, acc 1
2019-04-15T11:39:06.107171: step 16545, loss 0.00173135, acc 1
2019-04-15T11:39:06.248794: step 16546, loss 4.63919e-06, acc 1
2019-04-15T11:39:06.382436: step 16547, loss 7.34968e-05, acc 1
2019-04-15T11:39:06.518072: step 16548, loss 7.09657e-07, acc 1
2019-04-15T11:39:06.664680: step 16549, loss 4.50723e-06, acc 1
2019-04-15T11:39:06.799322: step 16550, loss 4.37719e-07, acc 1
2019-04-15T11:39:06.934958: step 16551, loss 7.99056e-07, acc 1
2019-04-15T11:39:07.071592: step 16552, loss 9.41945e-06, acc 1
2019-04-15T11:39:07.217202: step 16553, loss 1.97056e-06, acc 1
2019-04-15T11:39:07.354835: step 16554, loss 0.00400019, acc 1
2019-04-15T11:39:07.498450: step 16555, loss 0, acc 1
2019-04-15T11:39:07.647053: step 16556, loss 0.000431963, acc 1
2019-04-15T11:39:07.779697: step 16557, loss 3.08053e-06, acc 1
2019-04-15T11:39:07.917330: step 16558, loss 8.17371e-06, acc 1
2019-04-15T11:39:08.051012: step 16559, loss 3.70463e-05, acc 1
2019-04-15T11:39:08.188605: step 16560, loss 0.000287576, acc 1
2019-04-15T11:39:08.328232: step 16561, loss 0.000255984, acc 1
2019-04-15T11:39:08.465902: step 16562, loss 6.32269e-06, acc 1
2019-04-15T11:39:08.603494: step 16563, loss 4.71279e-05, acc 1
2019-04-15T11:39:08.745115: step 16564, loss 0.00891549, acc 1
2019-04-15T11:39:08.881750: step 16565, loss 0.00011966, acc 1
2019-04-15T11:39:09.015392: step 16566, loss 4.78086e-06, acc 1
2019-04-15T11:39:09.150035: step 16567, loss 0.00032801, acc 1
2019-04-15T11:39:09.286666: step 16568, loss 0.0029427, acc 1
2019-04-15T11:39:09.423301: step 16569, loss 0.000920274, acc 1
2019-04-15T11:39:09.574897: step 16570, loss 4.45495e-06, acc 1
2019-04-15T11:39:09.719509: step 16571, loss 1.17214e-05, acc 1
2019-04-15T11:39:09.859138: step 16572, loss 2.12914e-05, acc 1
2019-04-15T11:39:09.995770: step 16573, loss 2.17928e-07, acc 1
2019-04-15T11:39:10.133403: step 16574, loss 0.000287567, acc 1
2019-04-15T11:39:10.269039: step 16575, loss 6.77486e-06, acc 1
2019-04-15T11:39:10.406710: step 16576, loss 0.00844617, acc 1
2019-04-15T11:39:10.542309: step 16577, loss 1.37835e-07, acc 1
2019-04-15T11:39:10.693902: step 16578, loss 2.26278e-05, acc 1
2019-04-15T11:39:10.834526: step 16579, loss 1.15612e-05, acc 1
2019-04-15T11:39:10.969206: step 16580, loss 0.000641259, acc 1
2019-04-15T11:39:11.103809: step 16581, loss 0.00101275, acc 1
2019-04-15T11:39:11.248419: step 16582, loss 0.00150149, acc 1
2019-04-15T11:39:11.384059: step 16583, loss 2.54161e-05, acc 1
2019-04-15T11:39:11.525722: step 16584, loss 0.000833334, acc 1
2019-04-15T11:39:11.670374: step 16585, loss 1.13767e-05, acc 1
2019-04-15T11:39:11.815946: step 16586, loss 2.86832e-06, acc 1
2019-04-15T11:39:11.951584: step 16587, loss 8.81385e-05, acc 1
2019-04-15T11:39:12.091209: step 16588, loss 0.000117267, acc 1
2019-04-15T11:39:12.225850: step 16589, loss 8.58869e-05, acc 1
2019-04-15T11:39:12.361488: step 16590, loss 6.76131e-07, acc 1
2019-04-15T11:39:12.496126: step 16591, loss 1.58803e-05, acc 1
2019-04-15T11:39:12.635753: step 16592, loss 7.0966e-07, acc 1
2019-04-15T11:39:12.770393: step 16593, loss 0.0239497, acc 0.984375
2019-04-15T11:39:12.911018: step 16594, loss 5.4424e-05, acc 1
2019-04-15T11:39:13.045656: step 16595, loss 5.38296e-07, acc 1
2019-04-15T11:39:13.185283: step 16596, loss 1.86264e-08, acc 1
2019-04-15T11:39:13.320921: step 16597, loss 7.4235e-05, acc 1
2019-04-15T11:39:13.460547: step 16598, loss 7.14623e-05, acc 1
2019-04-15T11:39:13.597182: step 16599, loss 2.84132e-05, acc 1
2019-04-15T11:39:13.736808: step 16600, loss 7.33867e-07, acc 1

Evaluation:
2019-04-15T11:39:14.044984: step 16600, loss 5.73758, acc 0.724203

Saved model checkpoint to C:\Users\王博\Desktop\work\9. 新毕设\1. 对比方法\cnn-text-classification-tf-master\runs\1555296597\checkpoints\model-16600

2019-04-15T11:39:14.581549: step 16601, loss 3.35276e-08, acc 1
2019-04-15T11:39:14.713196: step 16602, loss 4.6671e-06, acc 1
2019-04-15T11:39:14.846839: step 16603, loss 4.55185e-05, acc 1
2019-04-15T11:39:14.980482: step 16604, loss 1.67638e-08, acc 1
2019-04-15T11:39:15.127089: step 16605, loss 1.88867e-06, acc 1
2019-04-15T11:39:15.265719: step 16606, loss 3.11109e-05, acc 1
2019-04-15T11:39:15.411329: step 16607, loss 0.000186406, acc 1
2019-04-15T11:39:15.566913: step 16608, loss 1.64536e-05, acc 1
2019-04-15T11:39:15.726485: step 16609, loss 5.88589e-07, acc 1
2019-04-15T11:39:15.872096: step 16610, loss 5.53571e-05, acc 1
2019-04-15T11:39:16.024690: step 16611, loss 8.92187e-07, acc 1
2019-04-15T11:39:16.162321: step 16612, loss 5.58793e-09, acc 1
2019-04-15T11:39:16.314912: step 16613, loss 4.84281e-07, acc 1
2019-04-15T11:39:16.456535: step 16614, loss 6.10941e-07, acc 1
2019-04-15T11:39:16.613115: step 16615, loss 6.51925e-08, acc 1
2019-04-15T11:39:16.746758: step 16616, loss 9.28449e-06, acc 1
2019-04-15T11:39:16.881397: step 16617, loss 0.00323233, acc 1
2019-04-15T11:39:17.015040: step 16618, loss 0.000471704, acc 1
2019-04-15T11:39:17.151700: step 16619, loss 7.58078e-07, acc 1
2019-04-15T11:39:17.288310: step 16620, loss 6.08374e-05, acc 1
2019-04-15T11:39:17.431925: step 16621, loss 1.29923e-05, acc 1
2019-04-15T11:39:17.573545: step 16622, loss 1.59237e-05, acc 1
2019-04-15T11:39:17.714208: step 16623, loss 1.54452e-05, acc 1
2019-04-15T11:39:17.847812: step 16624, loss 0.00272637, acc 1
2019-04-15T11:39:17.983449: step 16625, loss 1.45286e-07, acc 1
2019-04-15T11:39:18.121120: step 16626, loss 0.15341, acc 0.984375
2019-04-15T11:39:18.258715: step 16627, loss 0.00427407, acc 1
2019-04-15T11:39:18.393353: step 16628, loss 0.0053244, acc 1
2019-04-15T11:39:18.535973: step 16629, loss 1.28522e-07, acc 1
2019-04-15T11:39:18.685571: step 16630, loss 0.0090417, acc 1
2019-04-15T11:39:18.820243: step 16631, loss 0.00305131, acc 1
2019-04-15T11:39:18.954851: step 16632, loss 0.113122, acc 0.984375
2019-04-15T11:39:19.091488: step 16633, loss 8.22074e-05, acc 1
2019-04-15T11:39:19.230116: step 16634, loss 7.93135e-05, acc 1
2019-04-15T11:39:19.372733: step 16635, loss 1.06321e-05, acc 1
2019-04-15T11:39:19.510365: step 16636, loss 3.94653e-06, acc 1
2019-04-15T11:39:19.661960: step 16637, loss 5.02097e-06, acc 1
2019-04-15T11:39:19.796600: step 16638, loss 1.71363e-07, acc 1
2019-04-15T11:39:19.932239: step 16639, loss 0.000623874, acc 1
2019-04-15T11:39:20.073859: step 16640, loss 8.08371e-07, acc 1
2019-04-15T11:39:20.207540: step 16641, loss 4.2468e-07, acc 1
2019-04-15T11:39:20.344175: step 16642, loss 3.02654e-06, acc 1
2019-04-15T11:39:20.477779: step 16643, loss 4.90985e-05, acc 1
2019-04-15T11:39:20.628376: step 16644, loss 9.6023e-06, acc 1
2019-04-15T11:39:20.774983: step 16645, loss 1.86265e-09, acc 1
2019-04-15T11:39:20.910620: step 16646, loss 5.20963e-05, acc 1
2019-04-15T11:39:21.047255: step 16647, loss 0.00580753, acc 1
2019-04-15T11:39:21.180897: step 16648, loss 5.69961e-07, acc 1
2019-04-15T11:39:21.315538: step 16649, loss 0.000710585, acc 1
2019-04-15T11:39:21.444195: step 16650, loss 4.36373e-05, acc 1
2019-04-15T11:39:21.581825: step 16651, loss 0.00127, acc 1
2019-04-15T11:39:21.718499: step 16652, loss 1.51658e-05, acc 1
2019-04-15T11:39:21.858088: step 16653, loss 5.2712e-07, acc 1
2019-04-15T11:39:21.997713: step 16654, loss 4.41091e-05, acc 1
2019-04-15T11:39:22.133350: step 16655, loss 0.0520324, acc 0.984375
2019-04-15T11:39:22.272977: step 16656, loss 0.00535487, acc 1
2019-04-15T11:39:22.407617: step 16657, loss 4.28408e-08, acc 1
2019-04-15T11:39:22.540261: step 16658, loss 0.00102363, acc 1
2019-04-15T11:39:22.679888: step 16659, loss 6.35153e-07, acc 1
2019-04-15T11:39:22.817521: step 16660, loss 0.000728777, acc 1
2019-04-15T11:39:22.957147: step 16661, loss 0.00300188, acc 1
2019-04-15T11:39:23.092784: step 16662, loss 1.7695e-07, acc 1
2019-04-15T11:39:23.232411: step 16663, loss 0.00386785, acc 1
2019-04-15T11:39:23.371040: step 16664, loss 0.000354682, acc 1
2019-04-15T11:39:23.512661: step 16665, loss 2.4028e-07, acc 1
2019-04-15T11:39:23.660266: step 16666, loss 7.24858e-06, acc 1
2019-04-15T11:39:23.796900: step 16667, loss 5.84395e-06, acc 1
2019-04-15T11:39:23.933535: step 16668, loss 9.3132e-08, acc 1
2019-04-15T11:39:24.079146: step 16669, loss 8.87608e-05, acc 1
2019-04-15T11:39:24.216778: step 16670, loss 3.11597e-06, acc 1
2019-04-15T11:39:24.365380: step 16671, loss 9.71468e-06, acc 1
2019-04-15T11:39:24.501017: step 16672, loss 3.53902e-08, acc 1
2019-04-15T11:39:24.645630: step 16673, loss 0.000391693, acc 1
2019-04-15T11:39:24.780273: step 16674, loss 0.0819727, acc 0.984375
2019-04-15T11:39:24.915908: step 16675, loss 0.00215337, acc 1
2019-04-15T11:39:25.049550: step 16676, loss 2.65045e-06, acc 1
2019-04-15T11:39:25.192169: step 16677, loss 1.82538e-07, acc 1
2019-04-15T11:39:25.329802: step 16678, loss 2.72295e-06, acc 1
2019-04-15T11:39:25.468430: step 16679, loss 0.00019789, acc 1
2019-04-15T11:39:25.607059: step 16680, loss 1.08615e-05, acc 1
2019-04-15T11:39:25.740741: step 16681, loss 1.23116e-06, acc 1
