ratio: 0.1
article_train_X.shape: 1242
article_train_y.shape: 1242
article_test_X.shape: 1384
article_test_y.shape: 1384
Writing to D:\fake_news_detection\runs\1556439652_0.1

2019-04-28T16:20:54.427933: step 1, loss 1.0713, acc 0.609375
2019-04-28T16:37:11.114655: step 1412, loss 0.286214, acc 0.8125
2019-04-28T16:37:11.294611: step 1413, loss 0.287511, acc 0.8125
2019-04-28T16:37:11.482564: step 1414, loss 0.26543, acc 0.8125
2019-04-28T16:37:11.667159: step 1415, loss 0.293428, acc 0.78125
2019-04-28T16:37:11.869097: step 1416, loss 0.238308, acc 0.875
2019-04-28T16:37:12.048857: step 1417, loss 0.259747, acc 0.796875
2019-04-28T16:37:12.242301: step 1418, loss 0.274775, acc 0.75
2019-04-28T16:37:12.419522: step 1419, loss 0.312363, acc 0.859375
2019-04-28T16:37:12.610209: step 1420, loss 0.267697, acc 0.859375
2019-04-28T16:37:12.795763: step 1421, loss 0.236195, acc 0.828125
2019-04-28T16:37:12.977836: step 1422, loss 0.292496, acc 0.8125
2019-04-28T16:37:13.154516: step 1423, loss 0.275418, acc 0.8125
2019-04-28T16:37:13.328743: step 1424, loss 0.344508, acc 0.734375
2019-04-28T16:37:13.515473: step 1425, loss 0.310195, acc 0.78125
2019-04-28T16:37:13.720578: step 1426, loss 0.315818, acc 0.78125
2019-04-28T16:37:13.931231: step 1427, loss 0.297679, acc 0.75
2019-04-28T16:37:14.126700: step 1428, loss 0.233767, acc 0.84375
2019-04-28T16:37:14.310845: step 1429, loss 0.333121, acc 0.8125
2019-04-28T16:37:14.494707: step 1430, loss 0.307038, acc 0.890625
2019-04-28T16:37:14.696299: step 1431, loss 0.288507, acc 0.78125
2019-04-28T16:37:14.883267: step 1432, loss 0.270743, acc 0.828125
2019-04-28T16:37:15.065559: step 1433, loss 0.298166, acc 0.75
2019-04-28T16:37:15.251122: step 1434, loss 0.244983, acc 0.828125
2019-04-28T16:37:15.442712: step 1435, loss 0.244406, acc 0.8125
2019-04-28T16:37:15.650637: step 1436, loss 0.30835, acc 0.734375
2019-04-28T16:37:15.858018: step 1437, loss 0.272511, acc 0.8125
2019-04-28T16:37:16.056854: step 1438, loss 0.189217, acc 0.9375
2019-04-28T16:37:16.250614: step 1439, loss 0.31399, acc 0.765625
2019-04-28T16:37:16.430744: step 1440, loss 0.325644, acc 0.828125
2019-04-28T16:37:16.619086: step 1441, loss 0.310325, acc 0.765625
2019-04-28T16:37:16.822347: step 1442, loss 0.298542, acc 0.796875
2019-04-28T16:37:17.001160: step 1443, loss 0.356168, acc 0.78
2019-04-28T16:37:17.208805: step 1444, loss 0.267215, acc 0.78125
2019-04-28T16:37:17.406668: step 1445, loss 0.257283, acc 0.84375
2019-04-28T16:37:17.598198: step 1446, loss 0.23414, acc 0.828125
2019-04-28T16:37:17.787654: step 1447, loss 0.278073, acc 0.828125
2019-04-28T16:37:17.976685: step 1448, loss 0.265275, acc 0.8125
2019-04-28T16:37:18.157346: step 1449, loss 0.352407, acc 0.875
2019-04-28T16:37:18.340431: step 1450, loss 0.339751, acc 0.75
2019-04-28T16:37:18.531108: step 1451, loss 0.288248, acc 0.765625
2019-04-28T16:37:18.711836: step 1452, loss 0.352163, acc 0.703125
2019-04-28T16:37:18.889040: step 1453, loss 0.32211, acc 0.765625
2019-04-28T16:37:19.069632: step 1454, loss 0.239611, acc 0.84375
2019-04-28T16:37:19.240950: step 1455, loss 0.304787, acc 0.84375
2019-04-28T16:37:19.428273: step 1456, loss 0.294132, acc 0.8125
2019-04-28T16:37:19.609499: step 1457, loss 0.230729, acc 0.859375
2019-04-28T16:37:19.797514: step 1458, loss 0.258915, acc 0.859375
2019-04-28T16:37:19.987409: step 1459, loss 0.330336, acc 0.8125
2019-04-28T16:37:20.168506: step 1460, loss 0.330659, acc 0.765625
2019-04-28T16:37:20.347608: step 1461, loss 0.319936, acc 0.796875
2019-04-28T16:37:20.523149: step 1462, loss 0.262341, acc 0.875
2019-04-28T16:37:20.709110: step 1463, loss 0.272693, acc 0.8125
2019-04-28T16:37:20.886940: step 1464, loss 0.19787, acc 0.859375
2019-04-28T16:37:21.070244: step 1465, loss 0.227612, acc 0.875
2019-04-28T16:37:21.247283: step 1466, loss 0.274382, acc 0.828125
2019-04-28T16:37:21.427483: step 1467, loss 0.284608, acc 0.84375
2019-04-28T16:37:21.625937: step 1468, loss 0.296979, acc 0.8125
2019-04-28T16:37:21.818010: step 1469, loss 0.274278, acc 0.890625
2019-04-28T16:37:21.996622: step 1470, loss 0.279564, acc 0.8125
2019-04-28T16:37:22.176677: step 1471, loss 0.260031, acc 0.828125
2019-04-28T16:37:22.382270: step 1472, loss 0.324028, acc 0.75
2019-04-28T16:37:22.567574: step 1473, loss 0.171768, acc 0.9375
2019-04-28T16:37:22.748889: step 1474, loss 0.221563, acc 0.8125
2019-04-28T16:37:22.925477: step 1475, loss 0.366294, acc 0.75
2019-04-28T16:37:23.113040: step 1476, loss 0.273667, acc 0.84375
2019-04-28T16:37:23.295281: step 1477, loss 0.352186, acc 0.8125
2019-04-28T16:37:23.478826: step 1478, loss 0.30145, acc 0.78125
2019-04-28T16:37:23.703804: step 1479, loss 0.23506, acc 0.84375
2019-04-28T16:37:23.891908: step 1480, loss 0.264394, acc 0.78125
2019-04-28T16:37:24.063414: step 1481, loss 0.313777, acc 0.75
2019-04-28T16:37:24.214070: step 1482, loss 0.266684, acc 0.88
2019-04-28T16:37:24.416056: step 1483, loss 0.273204, acc 0.859375
2019-04-28T16:37:24.600166: step 1484, loss 0.181314, acc 0.875
2019-04-28T16:37:24.776326: step 1485, loss 0.212478, acc 0.90625
2019-04-28T16:37:24.952613: step 1486, loss 0.287583, acc 0.859375
2019-04-28T16:37:25.111911: step 1487, loss 0.294938, acc 0.75
2019-04-28T16:37:25.289964: step 1488, loss 0.31929, acc 0.828125
2019-04-28T16:37:25.467109: step 1489, loss 0.238297, acc 0.890625
2019-04-28T16:37:25.655762: step 1490, loss 0.24666, acc 0.859375
2019-04-28T16:37:25.836972: step 1491, loss 0.239069, acc 0.8125
2019-04-28T16:37:26.023123: step 1492, loss 0.308782, acc 0.84375
2019-04-28T16:37:26.202126: step 1493, loss 0.351034, acc 0.765625
2019-04-28T16:37:26.388067: step 1494, loss 0.356555, acc 0.75
2019-04-28T16:37:26.587752: step 1495, loss 0.24726, acc 0.921875
2019-04-28T16:37:26.819781: step 1496, loss 0.307634, acc 0.828125
2019-04-28T16:37:27.026065: step 1497, loss 0.165776, acc 0.890625
2019-04-28T16:37:27.234101: step 1498, loss 0.340555, acc 0.75
2019-04-28T16:37:27.420468: step 1499, loss 0.272431, acc 0.828125
2019-04-28T16:37:27.623926: step 1500, loss 0.210334, acc 0.875

Evaluation:
2019-04-28T16:37:28.446973: step 1500, loss 1.00904, acc 0.555636, predictions1384

Saved model checkpoint to D:\fake_news_detection\runs\1556440354_0.2\checkpoints\model-1500

2019-04-28T16:37:28.915039: step 1501, loss 0.330187, acc 0.8125
2019-04-28T16:37:29.093217: step 1502, loss 0.353725, acc 0.71875
2019-04-28T16:37:29.271203: step 1503, loss 0.221221, acc 0.859375
2019-04-28T16:37:29.446175: step 1504, loss 0.328132, acc 0.75
2019-04-28T16:37:29.626613: step 1505, loss 0.339841, acc 0.75
2019-04-28T16:37:29.820762: step 1506, loss 0.304931, acc 0.78125
2019-04-28T16:37:30.017226: step 1507, loss 0.283231, acc 0.828125
2019-04-28T16:37:30.204652: step 1508, loss 0.309295, acc 0.84375
2019-04-28T16:37:30.395827: step 1509, loss 0.279925, acc 0.84375
2019-04-28T16:37:30.583450: step 1510, loss 0.254961, acc 0.796875
2019-04-28T16:37:30.757606: step 1511, loss 0.388957, acc 0.703125
2019-04-28T16:37:30.943657: step 1512, loss 0.166247, acc 0.890625
2019-04-28T16:37:31.128202: step 1513, loss 0.23558, acc 0.8125
2019-04-28T16:37:31.322164: step 1514, loss 0.292421, acc 0.8125
2019-04-28T16:37:31.516647: step 1515, loss 0.250111, acc 0.84375
2019-04-28T16:37:31.701070: step 1516, loss 0.332254, acc 0.75
2019-04-28T16:37:31.894586: step 1517, loss 0.278536, acc 0.796875
2019-04-28T16:37:32.094467: step 1518, loss 0.291506, acc 0.796875
2019-04-28T16:37:32.283150: step 1519, loss 0.301262, acc 0.8125
2019-04-28T16:37:32.476208: step 1520, loss 0.273565, acc 0.84375
2019-04-28T16:37:32.633849: step 1521, loss 0.194926, acc 0.9
2019-04-28T16:37:32.820375: step 1522, loss 0.306035, acc 0.875
2019-04-28T16:37:33.012423: step 1523, loss 0.30006, acc 0.84375
2019-04-28T16:37:33.202656: step 1524, loss 0.205348, acc 0.90625
2019-04-28T16:37:33.388160: step 1525, loss 0.183244, acc 0.890625
2019-04-28T16:37:33.601131: step 1526, loss 0.212438, acc 0.890625
2019-04-28T16:37:33.795427: step 1527, loss 0.312986, acc 0.796875
2019-04-28T16:37:33.977225: step 1528, loss 0.256222, acc 0.8125
2019-04-28T16:37:34.167063: step 1529, loss 0.39597, acc 0.75
2019-04-28T16:37:34.353288: step 1530, loss 0.247612, acc 0.84375
2019-04-28T16:37:34.540240: step 1531, loss 0.356635, acc 0.78125
2019-04-28T16:37:34.728426: step 1532, loss 0.301902, acc 0.765625
2019-04-28T16:37:34.928724: step 1533, loss 0.291579, acc 0.9375
2019-04-28T16:37:35.112047: step 1534, loss 0.355869, acc 0.71875
2019-04-28T16:37:35.318908: step 1535, loss 0.223813, acc 0.84375
2019-04-28T16:37:35.514155: step 1536, loss 0.298378, acc 0.84375
2019-04-28T16:37:35.740438: step 1537, loss 0.352738, acc 0.703125
2019-04-28T16:37:35.967890: step 1538, loss 0.260126, acc 0.8125
2019-04-28T16:37:36.208256: step 1539, loss 0.368276, acc 0.71875
2019-04-28T16:37:36.450232: step 1540, loss 0.213727, acc 0.890625
2019-04-28T16:37:36.687196: step 1541, loss 0.424814, acc 0.75
2019-04-28T16:37:36.916580: step 1542, loss 0.239128, acc 0.84375
2019-04-28T16:37:37.128082: step 1543, loss 0.300504, acc 0.78125
2019-04-28T16:37:37.379602: step 1544, loss 0.305263, acc 0.8125
2019-04-28T16:37:37.606846: step 1545, loss 0.231744, acc 0.890625
2019-04-28T16:37:37.839610: step 1546, loss 0.271186, acc 0.828125
2019-04-28T16:37:38.145558: step 1547, loss 0.318604, acc 0.765625
2019-04-28T16:37:38.418584: step 1548, loss 0.302712, acc 0.734375
2019-04-28T16:37:38.679713: step 1549, loss 0.297618, acc 0.796875
2019-04-28T16:37:38.916625: step 1550, loss 0.30685, acc 0.78125
2019-04-28T16:37:39.128284: step 1551, loss 0.265074, acc 0.875
2019-04-28T16:37:39.334604: step 1552, loss 0.224355, acc 0.84375
2019-04-28T16:37:39.537667: step 1553, loss 0.283737, acc 0.8125
2019-04-28T16:37:39.734690: step 1554, loss 0.192204, acc 0.890625
2019-04-28T16:37:39.948409: step 1555, loss 0.288389, acc 0.78125
2019-04-28T16:37:40.169792: step 1556, loss 0.215427, acc 0.828125
2019-04-28T16:37:40.363407: step 1557, loss 0.258122, acc 0.84375
2019-04-28T16:37:40.558829: step 1558, loss 0.266867, acc 0.796875
2019-04-28T16:37:40.748985: step 1559, loss 0.284767, acc 0.84375
2019-04-28T16:37:40.928466: step 1560, loss 0.218806, acc 0.84
2019-04-28T16:37:41.141979: step 1561, loss 0.268294, acc 0.859375
2019-04-28T16:37:41.365853: step 1562, loss 0.344213, acc 0.71875
2019-04-28T16:37:41.558712: step 1563, loss 0.294537, acc 0.765625
2019-04-28T16:37:41.766842: step 1564, loss 0.333513, acc 0.75
2019-04-28T16:37:41.971261: step 1565, loss 0.273616, acc 0.8125
2019-04-28T16:37:42.172724: step 1566, loss 0.309916, acc 0.8125
2019-04-28T16:37:42.368548: step 1567, loss 0.257536, acc 0.890625
2019-04-28T16:37:42.557944: step 1568, loss 0.241347, acc 0.875
2019-04-28T16:37:42.751041: step 1569, loss 0.166431, acc 0.90625
2019-04-28T16:37:42.943137: step 1570, loss 0.270111, acc 0.859375
2019-04-28T16:37:43.126320: step 1571, loss 0.227862, acc 0.875
2019-04-28T16:37:43.324719: step 1572, loss 0.30241, acc 0.890625
2019-04-28T16:37:43.512192: step 1573, loss 0.380621, acc 0.6875
2019-04-28T16:37:43.692375: step 1574, loss 0.281831, acc 0.84375
2019-04-28T16:37:43.879393: step 1575, loss 0.219586, acc 0.84375
2019-04-28T16:37:44.073836: step 1576, loss 0.225089, acc 0.90625
2019-04-28T16:37:44.290812: step 1577, loss 0.275379, acc 0.796875
2019-04-28T16:37:44.483694: step 1578, loss 0.2758, acc 0.75
2019-04-28T16:37:44.691136: step 1579, loss 0.265029, acc 0.84375
2019-04-28T16:37:44.913339: step 1580, loss 0.232589, acc 0.875
2019-04-28T16:37:45.107686: step 1581, loss 0.225304, acc 0.890625
2019-04-28T16:37:45.310900: step 1582, loss 0.24024, acc 0.828125
2019-04-28T16:37:45.507505: step 1583, loss 0.25776, acc 0.84375
2019-04-28T16:37:45.718569: step 1584, loss 0.290145, acc 0.84375
2019-04-28T16:37:45.966025: step 1585, loss 0.346895, acc 0.75
2019-04-28T16:37:46.231568: step 1586, loss 0.258517, acc 0.859375
2019-04-28T16:37:46.477435: step 1587, loss 0.319159, acc 0.765625
2019-04-28T16:37:46.708626: step 1588, loss 0.250369, acc 0.828125
2019-04-28T16:37:46.938781: step 1589, loss 0.280306, acc 0.84375
2019-04-28T16:37:47.172195: step 1590, loss 0.271421, acc 0.84375
2019-04-28T16:37:47.373922: step 1591, loss 0.245715, acc 0.796875
2019-04-28T16:37:47.565749: step 1592, loss 0.272819, acc 0.84375
2019-04-28T16:37:47.771010: step 1593, loss 0.349694, acc 0.75
2019-04-28T16:37:47.992736: step 1594, loss 0.246534, acc 0.84375
2019-04-28T16:37:48.216066: step 1595, loss 0.317546, acc 0.78125
2019-04-28T16:37:48.432615: step 1596, loss 0.175193, acc 0.84375
2019-04-28T16:37:48.654003: step 1597, loss 0.303873, acc 0.796875
2019-04-28T16:37:48.866503: step 1598, loss 0.35979, acc 0.734375
2019-04-28T16:37:49.054443: step 1599, loss 0.242863, acc 0.8
2019-04-28T16:37:49.297952: step 1600, loss 0.296843, acc 0.78125

Evaluation:
2019-04-28T16:37:50.390702: step 1600, loss 1.02215, acc 0.557081, predictions1384

Saved model checkpoint to D:\fake_news_detection\runs\1556440354_0.2\checkpoints\model-1600

2019-04-28T16:37:50.939635: step 1601, loss 0.251886, acc 0.875
2019-04-28T16:37:51.158021: step 1602, loss 0.326395, acc 0.765625
2019-04-28T16:37:51.381422: step 1603, loss 0.323143, acc 0.765625
2019-04-28T16:37:51.599345: step 1604, loss 0.2612, acc 0.796875
2019-04-28T16:37:51.893692: step 1605, loss 0.274267, acc 0.796875
2019-04-28T16:37:52.154987: step 1606, loss 0.228623, acc 0.890625
2019-04-28T16:37:52.374957: step 1607, loss 0.245148, acc 0.796875
2019-04-28T16:37:52.597432: step 1608, loss 0.286178, acc 0.78125
2019-04-28T16:37:52.815997: step 1609, loss 0.318057, acc 0.8125
2019-04-28T16:37:53.034216: step 1610, loss 0.289483, acc 0.859375
2019-04-28T16:37:53.249404: step 1611, loss 0.254178, acc 0.84375
2019-04-28T16:37:53.542192: step 1612, loss 0.311835, acc 0.734375
2019-04-28T16:37:53.775409: step 1613, loss 0.311188, acc 0.8125
2019-04-28T16:37:53.983983: step 1614, loss 0.31243, acc 0.859375
2019-04-28T16:37:54.189738: step 1615, loss 0.264841, acc 0.890625
2019-04-28T16:37:54.406041: step 1616, loss 0.276178, acc 0.859375
2019-04-28T16:37:54.663233: step 1617, loss 0.326715, acc 0.734375
2019-04-28T16:37:54.904411: step 1618, loss 0.247122, acc 0.875
2019-04-28T16:37:55.160623: step 1619, loss 0.235518, acc 0.890625
2019-04-28T16:37:55.382619: step 1620, loss 0.290015, acc 0.84375
2019-04-28T16:37:55.587187: step 1621, loss 0.243621, acc 0.78125
2019-04-28T16:37:55.805833: step 1622, loss 0.280117, acc 0.859375
2019-04-28T16:37:56.015086: step 1623, loss 0.321627, acc 0.75
2019-04-28T16:37:56.221081: step 1624, loss 0.229648, acc 0.828125
2019-04-28T16:37:56.403662: step 1625, loss 0.347229, acc 0.765625
2019-04-28T16:37:56.602111: step 1626, loss 0.28885, acc 0.796875
2019-04-28T16:37:56.792997: step 1627, loss 0.251377, acc 0.828125
2019-04-28T16:37:56.989509: step 1628, loss 0.222469, acc 0.859375
2019-04-28T16:37:57.176296: step 1629, loss 0.278735, acc 0.8125
2019-04-28T16:37:57.361588: step 1630, loss 0.263563, acc 0.859375
2019-04-28T16:37:57.545541: step 1631, loss 0.293911, acc 0.859375
2019-04-28T16:37:57.733001: step 1632, loss 0.339851, acc 0.765625
2019-04-28T16:37:57.918238: step 1633, loss 0.257938, acc 0.78125
2019-04-28T16:37:58.102512: step 1634, loss 0.222973, acc 0.828125
2019-04-28T16:37:58.302979: step 1635, loss 0.230844, acc 0.828125
2019-04-28T16:37:58.490476: step 1636, loss 0.229288, acc 0.859375
2019-04-28T16:37:58.679394: step 1637, loss 0.265121, acc 0.84375
2019-04-28T16:37:58.840048: step 1638, loss 0.269399, acc 0.84
2019-04-28T16:37:59.027170: step 1639, loss 0.259826, acc 0.78125
2019-04-28T16:37:59.219768: step 1640, loss 0.306262, acc 0.8125
2019-04-28T16:37:59.405588: step 1641, loss 0.203295, acc 0.890625
2019-04-28T16:37:59.585747: step 1642, loss 0.374409, acc 0.703125
2019-04-28T16:37:59.768481: step 1643, loss 0.240949, acc 0.875
2019-04-28T16:37:59.953426: step 1644, loss 0.229755, acc 0.875
2019-04-28T16:38:00.142063: step 1645, loss 0.185983, acc 0.84375
2019-04-28T16:38:00.312516: step 1646, loss 0.365644, acc 0.703125
2019-04-28T16:38:00.486152: step 1647, loss 0.271496, acc 0.875
2019-04-28T16:38:00.673795: step 1648, loss 0.235165, acc 0.8125
2019-04-28T16:38:00.853831: step 1649, loss 0.258269, acc 0.859375
2019-04-28T16:38:01.032922: step 1650, loss 0.254309, acc 0.796875
2019-04-28T16:38:01.209233: step 1651, loss 0.173951, acc 0.90625
2019-04-28T16:38:01.387542: step 1652, loss 0.251135, acc 0.859375
2019-04-28T16:38:01.566080: step 1653, loss 0.223821, acc 0.8125
2019-04-28T16:38:01.757049: step 1654, loss 0.312291, acc 0.8125
2019-04-28T16:38:01.936989: step 1655, loss 0.279305, acc 0.859375
2019-04-28T16:38:02.109700: step 1656, loss 0.305347, acc 0.796875
2019-04-28T16:38:02.288754: step 1657, loss 0.291737, acc 0.765625
2019-04-28T16:38:02.472994: step 1658, loss 0.289802, acc 0.765625
2019-04-28T16:38:02.651047: step 1659, loss 0.243922, acc 0.828125
2019-04-28T16:38:02.830125: step 1660, loss 0.249192, acc 0.921875
2019-04-28T16:38:03.017585: step 1661, loss 0.295746, acc 0.796875
2019-04-28T16:38:03.191197: step 1662, loss 0.293069, acc 0.8125
2019-04-28T16:38:03.370203: step 1663, loss 0.267668, acc 0.84375
2019-04-28T16:38:03.559950: step 1664, loss 0.32511, acc 0.78125
2019-04-28T16:38:03.744362: step 1665, loss 0.251672, acc 0.84375
2019-04-28T16:38:03.922110: step 1666, loss 0.276347, acc 0.78125
2019-04-28T16:38:04.088732: step 1667, loss 0.281226, acc 0.796875
2019-04-28T16:38:04.264521: step 1668, loss 0.290816, acc 0.78125
2019-04-28T16:38:04.445116: step 1669, loss 0.26448, acc 0.90625
2019-04-28T16:38:04.635585: step 1670, loss 0.284979, acc 0.875
2019-04-28T16:38:04.828026: step 1671, loss 0.275642, acc 0.84375
2019-04-28T16:38:05.071365: step 1672, loss 0.274093, acc 0.828125
2019-04-28T16:38:05.266944: step 1673, loss 0.303227, acc 0.78125
2019-04-28T16:38:05.472303: step 1674, loss 0.224014, acc 0.890625
2019-04-28T16:38:05.656273: step 1675, loss 0.305479, acc 0.796875
2019-04-28T16:38:05.843735: step 1676, loss 0.2431, acc 0.8125
2019-04-28T16:38:06.011297: step 1677, loss 0.232008, acc 0.84
2019-04-28T16:38:06.217721: step 1678, loss 0.278176, acc 0.8125
2019-04-28T16:38:06.409679: step 1679, loss 0.326317, acc 0.8125
2019-04-28T16:38:06.602387: step 1680, loss 0.335018, acc 0.8125
2019-04-28T16:38:06.788691: step 1681, loss 0.270564, acc 0.765625
2019-04-28T16:38:06.983833: step 1682, loss 0.268411, acc 0.8125
2019-04-28T16:38:07.176928: step 1683, loss 0.267015, acc 0.859375
2019-04-28T16:38:07.359897: step 1684, loss 0.265188, acc 0.8125
2019-04-28T16:38:07.536675: step 1685, loss 0.220645, acc 0.875
2019-04-28T16:38:07.723375: step 1686, loss 0.287177, acc 0.78125
2019-04-28T16:38:07.957889: step 1687, loss 0.255632, acc 0.828125
2019-04-28T16:38:08.148417: step 1688, loss 0.281611, acc 0.828125
2019-04-28T16:38:08.340399: step 1689, loss 0.241886, acc 0.765625
2019-04-28T16:38:08.525956: step 1690, loss 0.325765, acc 0.8125
2019-04-28T16:38:08.708528: step 1691, loss 0.2715, acc 0.859375
2019-04-28T16:38:08.891579: step 1692, loss 0.245501, acc 0.8125
2019-04-28T16:38:09.090103: step 1693, loss 0.29179, acc 0.8125
2019-04-28T16:38:09.285204: step 1694, loss 0.284637, acc 0.859375
2019-04-28T16:38:09.476008: step 1695, loss 0.31995, acc 0.71875
2019-04-28T16:38:09.693954: step 1696, loss 0.216273, acc 0.875
2019-04-28T16:38:09.904514: step 1697, loss 0.295345, acc 0.875
2019-04-28T16:38:10.097188: step 1698, loss 0.317194, acc 0.75
2019-04-28T16:38:10.383957: step 1699, loss 0.28143, acc 0.828125
2019-04-28T16:38:10.599055: step 1700, loss 0.213394, acc 0.828125

Evaluation:
2019-04-28T16:38:11.501176: step 1700, loss 1.10902, acc 0.565751, predictions1384

Saved model checkpoint to D:\fake_news_detection\runs\1556440354_0.2\checkpoints\model-1700

2019-04-28T16:38:11.962793: step 1701, loss 0.227192, acc 0.8125
2019-04-28T16:38:12.151768: step 1702, loss 0.280857, acc 0.859375
2019-04-28T16:38:12.331300: step 1703, loss 0.248804, acc 0.84375
2019-04-28T16:38:12.503682: step 1704, loss 0.228832, acc 0.875
2019-04-28T16:38:12.691342: step 1705, loss 0.298891, acc 0.828125
2019-04-28T16:38:12.865908: step 1706, loss 0.271102, acc 0.859375
2019-04-28T16:38:13.048685: step 1707, loss 0.229017, acc 0.796875
2019-04-28T16:38:13.236154: step 1708, loss 0.287622, acc 0.828125
2019-04-28T16:38:13.420435: step 1709, loss 0.256047, acc 0.859375
2019-04-28T16:38:13.610672: step 1710, loss 0.252536, acc 0.84375
2019-04-28T16:38:13.808147: step 1711, loss 0.276434, acc 0.765625
2019-04-28T16:38:14.037995: step 1712, loss 0.273006, acc 0.828125
2019-04-28T16:38:14.236473: step 1713, loss 0.312594, acc 0.78125
2019-04-28T16:38:14.427097: step 1714, loss 0.288889, acc 0.796875
2019-04-28T16:38:14.630564: step 1715, loss 0.305178, acc 0.8125
2019-04-28T16:38:14.801539: step 1716, loss 0.310434, acc 0.86
2019-04-28T16:38:15.001493: step 1717, loss 0.265355, acc 0.8125
2019-04-28T16:38:15.205429: step 1718, loss 0.306526, acc 0.796875
2019-04-28T16:38:15.400198: step 1719, loss 0.257451, acc 0.796875
2019-04-28T16:38:15.593698: step 1720, loss 0.266522, acc 0.859375
2019-04-28T16:38:15.775811: step 1721, loss 0.302658, acc 0.796875
2019-04-28T16:38:15.959629: step 1722, loss 0.242351, acc 0.875
2019-04-28T16:38:16.139710: step 1723, loss 0.272427, acc 0.84375
2019-04-28T16:38:16.333472: step 1724, loss 0.242703, acc 0.875
2019-04-28T16:38:16.510180: step 1725, loss 0.212687, acc 0.90625
2019-04-28T16:38:16.698121: step 1726, loss 0.250279, acc 0.828125
2019-04-28T16:38:16.886225: step 1727, loss 0.299839, acc 0.765625
2019-04-28T16:38:17.066889: step 1728, loss 0.326823, acc 0.78125
2019-04-28T16:38:17.245879: step 1729, loss 0.268187, acc 0.796875
2019-04-28T16:38:17.420391: step 1730, loss 0.293496, acc 0.828125
2019-04-28T16:38:17.606935: step 1731, loss 0.330579, acc 0.78125
2019-04-28T16:38:17.788761: step 1732, loss 0.283731, acc 0.8125
2019-04-28T16:38:17.984101: step 1733, loss 0.245155, acc 0.84375
2019-04-28T16:38:18.168781: step 1734, loss 0.268286, acc 0.875
2019-04-28T16:38:18.352631: step 1735, loss 0.204854, acc 0.890625
2019-04-28T16:38:18.538050: step 1736, loss 0.274069, acc 0.796875
2019-04-28T16:38:18.736098: step 1737, loss 0.366214, acc 0.78125
2019-04-28T16:38:18.914208: step 1738, loss 0.322463, acc 0.6875
2019-04-28T16:38:19.097850: step 1739, loss 0.2413, acc 0.828125
2019-04-28T16:38:19.278310: step 1740, loss 0.304686, acc 0.796875
2019-04-28T16:38:19.456897: step 1741, loss 0.279299, acc 0.828125
2019-04-28T16:38:19.636129: step 1742, loss 0.252536, acc 0.84375
2019-04-28T16:38:19.815554: step 1743, loss 0.239923, acc 0.796875
2019-04-28T16:38:19.994293: step 1744, loss 0.38705, acc 0.765625
2019-04-28T16:38:20.180086: step 1745, loss 0.290006, acc 0.859375
2019-04-28T16:38:20.365429: step 1746, loss 0.254686, acc 0.828125
2019-04-28T16:38:20.545138: step 1747, loss 0.361665, acc 0.8125
2019-04-28T16:38:20.723065: step 1748, loss 0.311161, acc 0.8125
2019-04-28T16:38:20.896586: step 1749, loss 0.315552, acc 0.78125
2019-04-28T16:38:21.102141: step 1750, loss 0.266855, acc 0.875
2019-04-28T16:38:21.285054: step 1751, loss 0.22356, acc 0.828125
2019-04-28T16:38:21.466565: step 1752, loss 0.295013, acc 0.765625
2019-04-28T16:38:21.643821: step 1753, loss 0.241388, acc 0.921875
2019-04-28T16:38:21.820617: step 1754, loss 0.190395, acc 0.890625
2019-04-28T16:38:21.986860: step 1755, loss 0.330145, acc 0.7
2019-04-28T16:38:22.177439: step 1756, loss 0.294052, acc 0.765625
2019-04-28T16:38:22.379178: step 1757, loss 0.264762, acc 0.859375
2019-04-28T16:38:22.576754: step 1758, loss 0.332415, acc 0.765625
2019-04-28T16:38:22.758268: step 1759, loss 0.287046, acc 0.796875
2019-04-28T16:38:22.954219: step 1760, loss 0.240357, acc 0.859375
2019-04-28T16:38:23.150695: step 1761, loss 0.23959, acc 0.828125
2019-04-28T16:38:23.333864: step 1762, loss 0.324487, acc 0.859375
2019-04-28T16:38:23.522569: step 1763, loss 0.289609, acc 0.828125
2019-04-28T16:38:23.704762: step 1764, loss 0.244899, acc 0.8125
2019-04-28T16:38:23.888370: step 1765, loss 0.271584, acc 0.828125
2019-04-28T16:38:24.077434: step 1766, loss 0.238198, acc 0.875
2019-04-28T16:38:24.272439: step 1767, loss 0.24236, acc 0.84375
2019-04-28T16:38:24.466766: step 1768, loss 0.21412, acc 0.859375
2019-04-28T16:38:24.689422: step 1769, loss 0.322827, acc 0.828125
2019-04-28T16:38:24.889789: step 1770, loss 0.298945, acc 0.78125
2019-04-28T16:38:25.102381: step 1771, loss 0.20916, acc 0.859375
2019-04-28T16:38:25.318960: step 1772, loss 0.359663, acc 0.8125
2019-04-28T16:38:25.522088: step 1773, loss 0.235321, acc 0.890625
2019-04-28T16:38:25.736070: step 1774, loss 0.355869, acc 0.78125
2019-04-28T16:38:25.933488: step 1775, loss 0.365197, acc 0.78125
2019-04-28T16:38:26.123796: step 1776, loss 0.290589, acc 0.796875
2019-04-28T16:38:26.346618: step 1777, loss 0.267443, acc 0.859375
2019-04-28T16:38:26.565396: step 1778, loss 0.283076, acc 0.78125
2019-04-28T16:38:26.807886: step 1779, loss 0.259774, acc 0.828125
